"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name","type_of_day","type_of_day01"
31,29,90.65,35.356615,-119.062613,3.370833,"California","Kern","Bakersfield","Healthy air quality",1
49,45,87.170833,35.356615,-119.062613,2.870833,"California","Kern","Bakersfield","Healthy air quality",1
70,58,87.875,35.356615,-119.062613,1.9375,"California","Kern","Bakersfield","Unhealthy air quality",0
75,61,90.6375,35.356615,-119.062613,2.445833,"California","Kern","Bakersfield","Unhealthy air quality",0
61,54,86.604167,35.356615,-119.062613,2.433333,"California","Kern","Bakersfield","Unhealthy air quality",0
61,54,83.891667,35.356615,-119.062613,2.1375,"California","Kern","Bakersfield","Unhealthy air quality",0
89,68,87.179167,35.356615,-119.062613,2.275,"California","Kern","Bakersfield","Unhealthy air quality",0
77,62,88.004167,35.356615,-119.062613,2.5,"California","Kern","Bakersfield","Unhealthy air quality",0
55,51,88.570833,35.356615,-119.062613,2.383333,"California","Kern","Bakersfield","Unhealthy air quality",0
62,54,90.5125,35.356615,-119.062613,2.4125,"California","Kern","Bakersfield","Unhealthy air quality",0
56,51,91.3125,35.356615,-119.062613,1.858333,"California","Kern","Bakersfield","Unhealthy air quality",0
67,57,92.825,35.356615,-119.062613,2.4375,"California","Kern","Bakersfield","Unhealthy air quality",0
70,58,91.304167,35.356615,-119.062613,2.425,"California","Kern","Bakersfield","Unhealthy air quality",0
61,54,91.120833,35.356615,-119.062613,2.004167,"California","Kern","Bakersfield","Unhealthy air quality",0
65,56,92.654167,35.356615,-119.062613,1.891667,"California","Kern","Bakersfield","Unhealthy air quality",0
84,65,93.604167,35.356615,-119.062613,2.670833,"California","Kern","Bakersfield","Unhealthy air quality",0
86,66,90.2625,35.356615,-119.062613,3.066667,"California","Kern","Bakersfield","Unhealthy air quality",0
56,51,78.991667,35.356615,-119.062613,4.254167,"California","Kern","Bakersfield","Unhealthy air quality",0
109,78,77.320833,35.356615,-119.062613,2.579167,"California","Kern","Bakersfield","Unhealthy air quality",0
143,95,79.825,35.356615,-119.062613,1.929167,"California","Kern","Bakersfield","Unhealthy air quality",0
77,62,78.970833,35.356615,-119.062613,3.2375,"California","Kern","Bakersfield","Unhealthy air quality",0
45,42,78.083333,35.356615,-119.062613,2.2625,"California","Kern","Bakersfield","Healthy air quality",1
57,52,80.145833,35.356615,-119.062613,2.270833,"California","Kern","Bakersfield","Unhealthy air quality",0
77,62,81.570833,35.356615,-119.062613,2.354167,"California","Kern","Bakersfield","Unhealthy air quality",0
86,66,82.408333,35.356615,-119.062613,2.495833,"California","Kern","Bakersfield","Unhealthy air quality",0
94,70,82.191667,35.356615,-119.062613,2.208333,"California","Kern","Bakersfield","Unhealthy air quality",0
96,71,84.166667,35.356615,-119.062613,1.958333,"California","Kern","Bakersfield","Unhealthy air quality",0
108,77,87.783333,35.356615,-119.062613,1.870833,"California","Kern","Bakersfield","Unhealthy air quality",0
82,64,89.570833,35.356615,-119.062613,1.8125,"California","Kern","Bakersfield","Unhealthy air quality",0
92,69,90.529167,35.356615,-119.062613,1.9375,"California","Kern","Bakersfield","Unhealthy air quality",0
82,64,88.845833,35.356615,-119.062613,2.5625,"California","Kern","Bakersfield","Unhealthy air quality",0
47,44,81.9375,35.356615,-119.062613,3.075,"California","Kern","Bakersfield","Healthy air quality",1
54,50,78.4875,35.356615,-119.062613,2.658333,"California","Kern","Bakersfield","Healthy air quality",1
78,62,77.7,35.356615,-119.062613,1.8,"California","Kern","Bakersfield","Unhealthy air quality",0
82,64,80.6625,35.356615,-119.062613,1.75,"California","Kern","Bakersfield","Unhealthy air quality",0
73,60,83.3125,35.356615,-119.062613,1.608333,"California","Kern","Bakersfield","Unhealthy air quality",0
89,68,87.520833,35.356615,-119.062613,1.645833,"California","Kern","Bakersfield","Unhealthy air quality",0
112,79,89.545833,35.356615,-119.062613,1.85,"California","Kern","Bakersfield","Unhealthy air quality",0
107,77,90.454167,35.356615,-119.062613,1.525,"California","Kern","Bakersfield","Unhealthy air quality",0
104,75,92.55,35.356615,-119.062613,2.683333,"California","Kern","Bakersfield","Unhealthy air quality",0
71,59,89.158333,35.356615,-119.062613,3.054167,"California","Kern","Bakersfield","Unhealthy air quality",0
64,55,84.1375,35.356615,-119.062613,2.0375,"California","Kern","Bakersfield","Unhealthy air quality",0
56,51,83.366667,35.356615,-119.062613,2.041667,"California","Kern","Bakersfield","Unhealthy air quality",0
58,52,84.079167,35.356615,-119.062613,2.033333,"California","Kern","Bakersfield","Unhealthy air quality",0
68,57,83.979167,35.356615,-119.062613,1.954167,"California","Kern","Bakersfield","Unhealthy air quality",0
84,65,83.379167,35.356615,-119.062613,1.929167,"California","Kern","Bakersfield","Unhealthy air quality",0
74,60,81.241667,35.356615,-119.062613,2.591667,"California","Kern","Bakersfield","Unhealthy air quality",0
84,65,78.079167,35.356615,-119.062613,2.175,"California","Kern","Bakersfield","Unhealthy air quality",0
66,56,75.829167,35.356615,-119.062613,2.933333,"California","Kern","Bakersfield","Unhealthy air quality",0
51,47,72.220833,35.356615,-119.062613,3.233333,"California","Kern","Bakersfield","Healthy air quality",1
74,60,73.233333,35.356615,-119.062613,1.741667,"California","Kern","Bakersfield","Unhealthy air quality",0
133,90,80.420833,35.356615,-119.062613,2.520833,"California","Kern","Bakersfield","Unhealthy air quality",0
119,83,84.091667,35.356615,-119.062613,1.870833,"California","Kern","Bakersfield","Unhealthy air quality",0
88,67,78.829167,35.356615,-119.062613,1.679167,"California","Kern","Bakersfield","Unhealthy air quality",0
118,82,75.245833,35.356615,-119.062613,1.15,"California","Kern","Bakersfield","Unhealthy air quality",0
117,82,75.7625,35.356615,-119.062613,1.6,"California","Kern","Bakersfield","Unhealthy air quality",0
78,62,75.558333,35.356615,-119.062613,0.929167,"California","Kern","Bakersfield","Unhealthy air quality",0
76,61,72.466667,35.356615,-119.062613,1.641667,"California","Kern","Bakersfield","Unhealthy air quality",0
113,80,67.683333,35.356615,-119.062613,3.291667,"California","Kern","Bakersfield","Unhealthy air quality",0
117,82,68.391667,35.356615,-119.062613,2.008333,"California","Kern","Bakersfield","Unhealthy air quality",0
94,70,70.5875,35.356615,-119.062613,1.65,"California","Kern","Bakersfield","Unhealthy air quality",0
131,89,74.779167,35.356615,-119.062613,1.816667,"California","Kern","Bakersfield","Unhealthy air quality",0
131,89,75.3,35.356615,-119.062613,1.970833,"California","Kern","Bakersfield","Unhealthy air quality",0
107,77,75.9125,35.356615,-119.062613,2.075,"California","Kern","Bakersfield","Unhealthy air quality",0
185,116,74.241667,35.356615,-119.062613,1.570833,"California","Kern","Bakersfield","Unhealthy air quality",0
135,91,76.570833,35.356615,-119.062613,2.104167,"California","Kern","Bakersfield","Unhealthy air quality",0
78,62,72.3,35.356615,-119.062613,1.7375,"California","Kern","Bakersfield","Unhealthy air quality",0
64,55,69.916667,35.356615,-119.062613,2.854167,"California","Kern","Bakersfield","Unhealthy air quality",0
36,33,62.466667,35.356615,-119.062613,3.025,"California","Kern","Bakersfield","Healthy air quality",1
41,38,59.791667,35.356615,-119.062613,1.8125,"California","Kern","Bakersfield","Healthy air quality",1
46,43,63.770833,35.356615,-119.062613,1.55,"California","Kern","Bakersfield","Healthy air quality",1
437,316,60.354167,35.356615,-119.062613,6.6,"California","Kern","Bakersfield","Unhealthy air quality",0
51,47,57.1625,35.356615,-119.062613,2.366667,"California","Kern","Bakersfield","Healthy air quality",1
63,55,59.316667,35.356615,-119.062613,1.458333,"California","Kern","Bakersfield","Unhealthy air quality",0
75,61,60.295833,35.356615,-119.062613,1.420833,"California","Kern","Bakersfield","Unhealthy air quality",0
78,62,64.958333,35.356615,-119.062613,1.458333,"California","Kern","Bakersfield","Unhealthy air quality",0
70,58,67.275,35.356615,-119.062613,1.775,"California","Kern","Bakersfield","Unhealthy air quality",0
78,62,69.341667,35.356615,-119.062613,3.466667,"California","Kern","Bakersfield","Unhealthy air quality",0
53,49,56.991667,35.356615,-119.062613,3.183333,"California","Kern","Bakersfield","Healthy air quality",1
34,31,58.6625,35.356615,-119.062613,1.333333,"California","Kern","Bakersfield","Healthy air quality",1
50,46,63.145833,35.356615,-119.062613,1.65,"California","Kern","Bakersfield","Healthy air quality",1
66,56,68.225,35.356615,-119.062613,1.375,"California","Kern","Bakersfield","Unhealthy air quality",0
47,44,66.5625,35.356615,-119.062613,3.075,"California","Kern","Bakersfield","Healthy air quality",1
22,20,63.15,35.356615,-119.062613,2.6375,"California","Kern","Bakersfield","Healthy air quality",1
22,20,67.041667,35.356615,-119.062613,1.870833,"California","Kern","Bakersfield","Healthy air quality",1
128,87,59.604167,35.356615,-119.062613,2.895833,"California","Kern","Bakersfield","Unhealthy air quality",0
21,19,56.195833,35.356615,-119.062613,1.620833,"California","Kern","Bakersfield","Healthy air quality",1
32,30,59.616667,35.356615,-119.062613,1.254167,"California","Kern","Bakersfield","Healthy air quality",1
65,56,62.2875,35.356615,-119.062613,1.1375,"California","Kern","Bakersfield","Unhealthy air quality",0
89,68,66.225,35.356615,-119.062613,1.229167,"California","Kern","Bakersfield","Unhealthy air quality",0
84,65,66.741667,35.356615,-119.062613,1.233333,"California","Kern","Bakersfield","Unhealthy air quality",0
31,29,60.795833,35.356615,-119.062613,2.1125,"California","Kern","Bakersfield","Healthy air quality",1
36,33,61.633333,35.356615,-119.062613,1.379167,"California","Kern","Bakersfield","Healthy air quality",1
33,31,64.279167,35.356615,-119.062613,0.929167,"California","Kern","Bakersfield","Healthy air quality",1
49,45,60.816667,35.356615,-119.062613,1.204167,"California","Kern","Bakersfield","Healthy air quality",1
49,45,64.5625,35.356615,-119.062613,1.8875,"California","Kern","Bakersfield","Healthy air quality",1
33,31,62.891667,35.356615,-119.062613,1.729167,"California","Kern","Bakersfield","Healthy air quality",1
38,35,60.125,35.356615,-119.062613,1.479167,"California","Kern","Bakersfield","Healthy air quality",1
